	Make	Model	Price	Year	Kilometer	Fuel Type	Transmission	Location	Color	Owner	Seller Type	Engine	Max Power	Max Torque	Drivetrain	Length	Width	Height	Seating Capacity	Fuel Tank Capacity
1	Maruti Suzuki	Swift DZire VDI	450000	2014	75000	Diesel	Manual	Ludhiana	White	Second	Individual	1248 cc	74 bhp @ 4000 rpm	190 Nm @ 2000 rpm	FWD	3995.0	1695.0	1555.0	5.0	42.0
4	Toyota	Innova 2.4 VX 7 STR [2016-2020]	1950000	2018	69000	Diesel	Manual	Mumbai	Grey	First	Individual	2393 cc	148 bhp @ 3400 rpm	343 Nm @ 1400 rpm	RWD	4735.0	1830.0	1795.0	7.0	55.0
7	BMW	X1 xDrive20d M Sport	2650000	2017	75000	Diesel	Automatic	Coimbatore	White	Second	Individual	1995 cc	188 bhp @ 4000 rpm	400 Nm @ 1750 rpm	AWD	4439.0	1821.0	1612.0	5.0	51.0
9	Nissan	Terrano XL (D)	575000	2015	85000	Diesel	Manual	Mumbai	White	First	Individual	1461 cc	84 bhp @ 3750 rpm	200 Nm @ 1900 rpm	FWD	4331.0	1822.0	1671.0	5.0	50.0
13	Tata	Harrier XZ [2019-2020]	1695000	2019	20856	Diesel	Manual	Bangalore	Orange	First	Individual	1956 cc	138 bhp @ 3750 rpm	350 Nm @ 1750 rpm	FWD	4598.0	1894.0	1706.0	5.0	50.0
31	Hyundai	Creta 1.6 SX Plus AT	925000	2016	66000	Diesel	Automatic	Raipur	Black	First	Individual	1582 cc	126 bhp @ 4000 rpm	265 Nm @ 1900 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
36	Tata	Tigor Revotorq XT	490000	2018	43000	Diesel	Manual	Patna	White	First	Individual	1047 cc	69 bhp @ 4000 rpm	140 Nm @ 1800 rpm	FWD	3992.0	1677.0	1537.0	5.0	35.0
37	Toyota	Innova 2.4 G 8 STR [2016-2017]	1900000	2019	71000	Diesel	Manual	Mumbai	Bronze	First	Individual	2393 cc	148 bhp @ 3400 rpm	343 Nm @ 1400 rpm	RWD	4735.0	1830.0	1795.0	8.0	55.0
38	Mercedes-Benz	GLC 220 d Progressive	3850000	2017	45600	Diesel	Automatic	Mumbai	Black	Second	Individual	2143 cc	168 bhp @ 3000 rpm	400 Nm @ 1400 rpm	AWD	4656.0	1890.0	1639.0	5.0	66.0
39	Hyundai	Creta SX 1.6 CRDi (O)	1125000	2018	60000	Diesel	Manual	Patna	White	First	Individual	1582 cc	126 bhp @ 4000 rpm	260 Nm @ 1500 rpm	FWD	4270.0	1780.0	1665.0	5.0	55.0
40	Mercedes-Benz	M-Class ML 250 CDI	2300000	2014	105101	Diesel	Automatic	Vadodara	White	First	Individual	2143 cc	203 bhp @ 4200 rpm	500 Nm @ 1600 rpm	AWD	4804.0	2141.0	1796.0	5.0	70.0
42	Audi	A4 2.0 TDI (177bhp) Premium Plus	1575000	2013	66000	Diesel	Automatic	Hyderabad	White	First	Individual	1968 cc	177 bhp @ 4200 rpm	380 Nm @ 1750 rpm	FWD	4701.0	1826.0	1427.0	5.0	63.0
45	Mahindra	Thar CRDe 4x4 AC	625000	2015	65000	Diesel	Manual	Yamunanagar	White	Second	Individual	2498 cc	105 bhp @ 3800 rpm	247 Nm @ 1800 rpm	AWD	3920.0	1726.0	1930.0	6.0	60.0
48	Maruti Suzuki	Ciaz VDi SHVS	625000	2016	51330	Diesel	Manual	Mumbai	Brown	First	Individual	1248 cc	89 bhp @ 4000 rpm	200 Nm @ 1750 rpm	FWD	4490.0	1730.0	1485.0	5.0	43.0
50	Hyundai	Creta SX Plus 1.6 AT CRDI	1150000	2017	66602	Diesel	Automatic	Mumbai	Grey	First	Individual	1582 cc	126 bhp @ 4000 rpm	265 Nm @ 1900 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
53	MG	Hector Sharp 2.0 Diesel [2019-2020]	1611000	2019	46301	Diesel	Manual	Mumbai	White	First	Individual	1956 cc	169 bhp @ 3750 rpm	350 Nm @ 1750 rpm	FWD	4655.0	1835.0	1760.0	5.0	60.0
55	Toyota	Innova 2.5 GX BS IV 7 STR	865000	2015	43634	Diesel	Manual	Delhi	Silver	First	Individual	2494 cc	101 bhp @ 3600 rpm	200 Nm @ 1200 rpm	RWD	4585.0	1765.0	1760.0	7.0	55.0
56	BMW	X3 xDrive 20d Luxury Line [2018-2020]	3800000	2018	9512	Diesel	Automatic	Mumbai	Blue	First	Corporate	1995 cc	190 bhp @ 4000 rpm	400 Nm @ 1750 rpm	AWD	4657.0	1881.0	1678.0	5.0	67.0
57	Jeep	Compass Limited Plus 2.0 Diesel 4x4 AT	2475000	2020	11293	Diesel	Automatic	Mumbai	White	First	Individual	1956 cc	171 bhp @ 3750 rpm	350 Nm @ 1750 rpm	AWD	4395.0	1818.0	1640.0	5.0	60.0
58	Mahindra	Scorpio SLE BS-IV	400000	2014	78000	Diesel	Manual	Gurgaon	White	Second	Individual	2179 cc	120 bhp @ 4000 rpm	290 Nm @ 1800 rpm	RWD	4430.0	1817.0	1975.0	8.0	60.0
62	Volkswagen	Polo Highline1.2L (D)	365000	2013	78000	Diesel	Manual	Jaipur	Silver	First	Individual	1199 cc	74 bhp @ 4200 rpm	180 Nm @ 2000 rpm	FWD	3970.0	1682.0	1453.0	5.0	45.0
66	BMW	X3 xDrive20d	1800000	2012	74073	Diesel	Automatic	Hyderabad	Black	First	Individual	1995 cc	184 bhp @ 4000 rpm	380 Nm @ 1750 rpm	AWD	4648.0	1881.0	1661.0	5.0	67.0
67	Toyota	Fortuner 2.8 4x2 AT [2016-2020]	3499000	2019	73000	Diesel	Automatic	Mumbai	White	First	Individual	2755 cc	174 bhp @ 3400 rpm	450 Nm @ 1600 rpm	RWD	4795.0	1855.0	1835.0	7.0	80.0
69	Audi	A4 2.0 TDI (143 bhp)	1250000	2012	50000	Diesel	Automatic	Mumbai	White	First	Individual									
71	Hyundai	Elite i20 Sportz 1.5 MT Diesel	825000	2021	43000	Diesel	Manual	Agra	White	First	Individual	1493 cc	99 bhp @ 4000 rpm	240 Nm @ 1500 rpm	FWD	3995.0	1775.0	1505.0	5.0	37.0
72	Audi	A3 35 TDI Technology + Sunroof	2250000	2016	40500	Diesel	Automatic	Goa	White	First	Individual	1968 cc	141 bhp @ 3500 rpm	320 Nm @ 1750 rpm	FWD	4456.0	1796.0	1416.0	5.0	50.0
74	Ford	Figo Duratorq Diesel Titanium 1.4	299000	2013	64983	Diesel	Manual	Mumbai	Red	First	Individual	1399 cc	68 bhp @ 4000 rpm	160 Nm @ 2000 rpm	FWD	3795.0	1680.0	1427.0	5.0	45.0
77	Honda	Amaze 1.5 SX i-DTEC	350000	2014	110000	Diesel	Manual	Warangal	Black	First	Individual	1498 cc	99 bhp @ 3600 rpm	200 Nm @ 1750 rpm	FWD	3990.0	1680.0	1505.0	5.0	35.0
80	Mercedes-Benz	C-Class 250 CDI Elegance	1100000	2011	51500	Diesel	Automatic	Hyderabad	Black	Second	Individual	2143 cc	207@4200	500@1600	RWD	4596.0	1770.0	1447.0	5.0	66.0
81	Audi	Q3 35 TDI quattro Premium Plus	2900000	2018	35000	Diesel	Automatic	Pune	White	First	Individual	1968 cc	184 bhp @ 3500 rpm	380 Nm @ 1750 rpm	AWD	4385.0	1831.0	1608.0	5.0	64.0
83	BMW	X1 sDrive20d xLine	2990000	2018	34000	Diesel	Automatic	Delhi	White	First	Corporate	1995 cc	184 bhp @ 4000 rpm	350 Nm @ 1750 rpm	RWD	4454.0	2044.0	1545.0	5.0	63.0
85	Hyundai	Creta 1.6 SX Plus AT	890000	2016	88000	Diesel	Automatic	Ahmedabad	Silver	First	Individual	1582 cc	126 bhp @ 4000 rpm	265 Nm @ 1900 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
87	Mercedes-Benz	C-Class 220 BlueEfficiency	1650000	2013	58000	Diesel	Automatic	Bangalore	Silver	First	Individual	2143 cc	170 bhp @ 4200 rpm	400 Nm @ 2800 rpm	RWD	4596.0	1770.0	1447.0	5.0	66.0
90	Nissan	Terrano XV D THP 110 PS	650000	2016	76584	Diesel	Manual	Mumbai	White	First	Individual	1461 cc	108 bhp @ 3900 rpm	248 Nm @ 2250 rpm	FWD	4331.0	1822.0	1671.0	5.0	50.0
92	Maruti Suzuki	Vitara Brezza LDi (O) [2016-2018]	669000	2016	70000	Diesel	Manual	Mohali	Grey	First	Individual	1248 cc	89 bhp @ 4000 rpm	200 Nm @ 1750 rpm	FWD	3995.0	1790.0	1640.0	5.0	48.0
93	BMW	X5 xDrive30d Pure Experience (5 Seater)	2950000	2015	84700	Diesel	Automatic	Navi Mumbai	Black	Second	Individual	2993 cc	258 bhp @ 4000 rpm	560 Nm @ 1500 rpm	AWD	4886.0	1938.0	1762.0	5.0	
94	Mercedes-Benz	GLC 220 d Sport	3900000	2018	83400	Diesel	Automatic	Hyderabad	White	Second	Individual									
104	Audi	A6 2.0 TDI Premium	1325000	2012	98580	Diesel	Automatic	Goa	White	First	Individual	1968 cc	177 bhp @ 3750 rpm	380 Nm @ 1750 rpm	FWD	4915.0	1874.0	1455.0	5.0	65.0
105	BMW	X1 sDrive20d xLine	3900000	2021	8000	Diesel	Automatic	Delhi	Black	First	Individual	1995 cc	184 bhp @ 4000 rpm	350 Nm @ 1750 rpm	RWD	4454.0	2044.0	1545.0	5.0	63.0
106	Mahindra	XUV300 W8 (O) 1.5 Diesel	1299000	2020	31348	Diesel	Manual	Bangalore	White	First	Individual	1497 cc	115 bhp @ 3750 rpm	300 Nm @ 1500 rpm	FWD	3995.0	1821.0	1627.0	5.0	42.0
107	Maruti Suzuki	Swift ZDi Plus	580000	2018	28851	Diesel	Manual	Kolkata	Blue	First	Corporate	1248 cc	74 bhp @ 4000 rpm	190 Nm @ 2000 rpm	FWD	3840.0	1735.0	1530.0	5.0	37.0
