	Make	Model	Price	Year	Kilometer	Fuel Type	Transmission	Location	Color	Owner	Seller Type	Engine	Max Power	Max Torque	Drivetrain	Length	Width	Height	Seating Capacity	Fuel Tank Capacity
0	Honda	Amaze 1.2 VX i-VTEC	505000	2017	87150	Petrol	Manual	Pune	Grey	First	Corporate	1198 cc	87 bhp @ 6000 rpm	109 Nm @ 4500 rpm	FWD	3990.0	1680.0	1505.0	5.0	35.0
2	Hyundai	i10 Magna 1.2 Kappa2	220000	2011	67000	Petrol	Manual	Lucknow	Maroon	First	Individual	1197 cc	79 bhp @ 6000 rpm	112.7619 Nm @ 4000 rpm	FWD	3585.0	1595.0	1550.0	5.0	35.0
3	Toyota	Glanza G	799000	2019	37500	Petrol	Manual	Mangalore	Red	First	Individual	1197 cc	82 bhp @ 6000 rpm	113 Nm @ 4200 rpm	FWD	3995.0	1745.0	1510.0	5.0	37.0
5	Maruti Suzuki	Ciaz ZXi	675000	2017	73315	Petrol	Manual	Pune	Grey	First	Individual	1373 cc	91 bhp @ 6000 rpm	130 Nm @ 4000 rpm	FWD	4490.0	1730.0	1485.0	5.0	43.0
6	Mercedes-Benz	CLA 200 Petrol Sport	1898999	2015	47000	Petrol	Automatic	Mumbai	White	Second	Individual	1991 cc	181 bhp @ 5500 rpm	300 Nm @ 1200 rpm	FWD	4630.0	1777.0	1432.0	5.0	
8	Skoda	Octavia 1.8 TSI Style Plus AT [2017]	1390000	2017	56000	Petrol	Automatic	Mumbai	White	First	Individual	1798 cc	177 bhp @ 5100 rpm	250 Nm @ 1250 rpm	FWD	4670.0	1814.0	1476.0	5.0	50.0
10	Hyundai	Elite i20 Sportz 1.2	591000	2017	20281	Petrol	Manual	Mumbai	Red	First	Individual	1197 cc	82 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3985.0	1734.0	1505.0	5.0	45.0
11	Renault	Kwid 1.0 RXT [2016-2019]	459999	2018	22541	Petrol	Manual	Bangalore	Grey	First	Individual	999 cc	67 bhp @ 5500 rpm	91 Nm @ 4250 rpm	FWD	3679.0	1579.0	1478.0	5.0	28.0
12	Maruti Suzuki	Ciaz Alpha Hybrid 1.5 AT [2018-2020]	1075000	2019	30672	Petrol	Automatic	Bangalore	Blue	First	Individual	1462 cc	103 bhp @ 6000 rpm	138 Nm @ 4400 rpm	FWD	4490.0	1730.0	1485.0	5.0	43.0
14	Volkswagen	Polo GT TSI	944999	2017	41417	Petrol	Automatic	Bangalore	Grey	First	Individual	1197 cc	103 bhp @ 5000 rpm	175 Nm @ 1500 rpm	FWD	3971.0	1682.0	1469.0	5.0	45.0
15	Maruti Suzuki	Celerio ZXi AMT [2019-2020]	569000	2016	11471	Petrol	Automatic	Bangalore	Red	First	Individual	998 cc	67 bhp @ 6000 rpm	90 Nm @ 3500 rpm	FWD	3695.0	1600.0	1560.0	5.0	35.0
16	Maruti Suzuki	Alto 800 LXi (O)	449000	2019	3583	Petrol	Manual	Bangalore	Grey	First	Individual	796 cc	47 bhp @ 6000 rpm	69 Nm @ 3500 rpm	FWD	3445.0	1515.0	1475.0	5.0	35.0
17	Maruti Suzuki	Baleno Alpha Automatic	894999	2018	21365	Petrol	Automatic	Bangalore	Grey	First	Individual	1197 cc	82 bhp @ 6000 rpm	113 Nm @ 4200 rpm	FWD	3995.0	1745.0	1510.0	5.0	37.0
18	Maruti Suzuki	Wagon R ZXi 1.2 AMT	699000	2020	30777	Petrol	Automatic	Bangalore	White	First	Individual	1197 cc	82 bhp @ 6000 rpm	113 Nm @ 4200 rpm	FWD	3655.0	1620.0	1675.0	5.0	32.0
